,pred_step_data,label_step_data
133,31.822224,32.760715
134,32.7151,32.389286
135,32.21783,32.164284
136,32.903275,33.69643
137,33.857117,33.417854
138,33.74903,33.842857
139,32.982117,35.485714
140,33.740486,33.56786
141,33.171345,33.596428
142,33.39037,34.403572
143,33.681286,33.264286
144,32.749916,33.460712
145,33.395195,31.449999
146,32.92973,33.260715
147,33.94182,35.29643
148,35.048626,33.50357
149,32.91009,31.385714
150,34.01114,29.460718
151,32.59135,32.964283
152,34.57365,31.825
153,32.751736,28.196428
154,30.52,27.089285
155,31.723835,30.074999
156,33.202057,30.157146
157,33.220234,31.657146
158,33.535057,31.225002
159,33.68467,33.285713
160,34.94174,33.335716
161,35.18145,33.435715
162,35.326466,34.04286
163,35.53416,33.814285
164,35.26258,33.839287
165,35.47584,33.675
166,35.32377,33.732143
167,34.978863,32.228573
168,34.23731,30.935713
169,32.813843,27.689287
170,31.36687,29.600004
171,32.527283,32.582146
172,33.39283,30.925
173,32.342953,30.564285
174,33.28919,30.175
175,32.974422,32.910713
176,34.462902,32.74286
177,34.630695,33.239285
178,34.515163,33.93214
179,34.749035,34.31786
180,34.606236,34.039284
181,34.262413,33.725
182,32.82056,31.335714
183,31.611042,30.860718
184,32.479057,28.300003
185,31.16621,30.857143
186,32.91781,32.73214
187,33.973293,33.79643
188,34.50896,34.717857
189,35.379658,30.910717
190,31.410349,32.078575
191,34.060066,34.38572
192,35.49916,35.228573
193,35.449207,34.742855
194,34.88546,36.189285
195,36.436253,37.05714
196,36.655117,37.146427
197,36.99374,35.842857
198,36.147297,35.69286
199,35.704456,32.539284
200,34.011818,31.121428
201,33.000984,32.25
202,33.874554,34.1
203,35.0286,35.43571
204,35.95155,35.732143
205,35.79886,35.021427
206,35.361507,33.710716
207,34.89652,32.69286
208,34.299175,33.32143
209,34.41172,34.589287
210,34.950497,34.18214
211,34.926353,34.703575
212,35.008976,34.27857
213,34.97106,34.3
214,34.87327,34.15357
215,34.591183,35.489285
216,35.115368,35.575
217,35.479637,36.292854
218,36.066067,37.61786
219,36.266827,37.917854
220,34.617302,28.796429
221,28.781815,31.957144
222,33.8343,33.828575
223,33.983654,34.58214
224,33.36544,27.78214
225,29.834549,27.396427
226,31.825953,33.389282
227,34.929604,35.582146
228,35.423756,34.899998
229,34.087654,34.575
230,34.91128,34.22143
231,34.65723,34.19643
232,34.921623,28.917856
233,32.194057,32.44286
234,33.598705,33.60714
235,34.059254,31.242857
236,32.338417,31.785717
237,33.779346,32.603573
238,33.475903,32.764286
239,33.684425,34.68214
240,35.022533,34.907143
241,33.686962,33.399998
242,32.944195,32.692852
243,32.712994,32.75714
244,33.92001,34.767857
245,35.177647,34.975
246,34.565586,34.52143
247,33.989037,33.142857
248,33.746277,33.989285
249,34.04925,34.30357
250,33.620636,33.64643
251,32.816948,33.10357
252,33.011646,32.467857
253,32.16626,32.80357
254,33.163128,34.542854
255,34.345085,36.132145
